Main Category,Name,Formula,ESI Mode,Calc. MW,RT [min],Annotation Level,ChemSpider ID,mzCloud ID,Mass List ID,General Classification,Sub-class,Comments
Metabolite,D-Proline,C5 H9 N O2,ESI+,115.06281,0.712,1,128566,,,"Amines, Amino Acids, and Proteins",Amino Acid,
Metabolite,Stachydrine,C7 H13 N O2,ESI+,143.09412,1.062,1,103115,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivatives,
Metabolite,Diethyl succinate,C8 H14 O4,ESI+,174.08853,8.876,1,10025,,,Organic Acids,Succinic Acid,
Metabolite,(S)-4-Hydroxy-2-oxohexanoate,C6 H10 O4,ESI+,146.05733,5.164,1,"	28639218",,,"Aldehydes, Ketones, and Related Compounds",,Cross-referenced with old validated data 
Metabolite,L-Pipecolate,C6 H11 N O2,ESI+,129.07852,0.789,1,826,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivatives,
Metabolite,(+) -Catechin,C15 H14 O6,ESI+,290.078,4.857,2,65230,,FL6DAANS0001,Flavonoid,Flavonol,
Metabolite,(2S)-2-Isopropylmalate,C7 H12 O5,ESI+,176.06783,4.582,1,4444155,,,Organic Acids,Malic Acid Derivative,
Metabolite,5-Oxo-L-proline,C5 H7 N O3,ESI+,129.04213,0.932,1,7127,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivatives,
Metabolite,3-Methylcrotonylglycine,C7 H11 N O3,ESI+,157.07337,2.25,1,4945715,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivatives,
Metabolite,DL-Carnitine,C7 H15 N O3,ESI+,161.10449,0.686,1,282,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivatives,
Metabolite,"(2Z,4Z)-2-Hydroxyhexa-2,4-dienoate",C6 H8 O3,ESI+,128.04681,8.88,0,,,,Organic Acids,Hexanoid Acids,
Metabolite,"1-{[(3S,4S,5R)-2,3,4-Trihydroxy-5-(hydroxymethyl)tetrahydro-2-furanyl]methyl}-2-pyrrolidinecarboxylic acid (non-preferred name)",C11 H19 N O7,ESI+,277.11507,0.74,1,35014586,,,"Amines, Amino Acids, and Proteins",Amino Acid Derivatives,Also named: N-(1-Deoxy-1-fructosyl)proline
Metabolite,"4,8-Dimethylquinoline",C11 H11 N,ESI+,157.08861,5.092,1,12840,,,Other,Benzene and Derivatives,
Unmatched,Mesaconate,C5 H6 O4,ESI+,130.02616,4.58,0,,,,,,
Unmatched,[Similar to: NP-008521; ?Mass: -127.0638 Da],C8 H9 N,ESI+,119.07304,1.727,0,,,,,,
Metabolite,Diethyl 2-hydroxypentanedioate,C9 H16 O5,ESI+,204.09898,8.721,1,13752979,,,Esters,,
Metabolite,diethyl oxalpropionate,C9 H14 O5,ESI+,202.08344,5.51,1,88226,,,Esters,Diester,
