Name,Area: CAB17BM01.raw (F9),Area: CAB17BM02.raw (F10),Area: CAB17BM03.raw (F11),Area: CAB17BM04.raw (F12),Area: CAB18B01.raw (F17),Area: CAB18B02.raw (F18),Area: CAB18B03.raw (F19),Area: CAB18B04.raw (F20),Area: CAB18CAL01.raw (F21),Area: CAB18CAL02.raw (F22),Area: CAB18CAL03.raw (F23),Area: CAB18CAL04.raw (F24),Area: CAB19CALA01.raw (F33),Area: CAB19CALA02.raw (F34),Area: CAB19CALA03.raw (F35),Area: CAB19CALA04.raw (F36),Area: CAB19CALB01.raw (F37),Area: CAB19CALB02.raw (F38),Area: CAB19CALB03.raw (F39),Area: CAB19CALB04.raw (F40),Area: CAB20CAL01.raw (F65),Area: CAB20CAL02.raw (F66),Area: CAB20CAL03.raw (F67),Area: CAB20CAL04.raw (F68),Area: CCALP.raw (F91),Area: CAB19FRAA01.raw (F41),Area: CAB19FRAA02.raw (F42),Area: CAB19FRAA03.raw (F43),Area: CAB19FRAA04.raw (F44),Area: CAB19FRAB01.raw (F45),Area: CAB19FRAB02.raw (F46),Area: CAB19FRAB03.raw (F47),Area: CAB19FRAB04.raw (F48),Area: CAB20FRAA01.raw (F69),Area: CAB20FRAA02.raw (F70),Area: CAB20FRAA03.raw (F71),Area: CAB20FRAA04.raw (F72),Area: CAB20FRAB01.raw (F73),Area: CAB20FRAB02.raw (F74),Area: CAB20FRAB03.raw (F75),Area: CAB20FRAB04.raw (F76),Area: CFP.raw (F92),Area: CAB17HP01.raw (F13),Area: CAB17HP02.raw (F14),Area: CAB17HP03.raw (F15),Area: CAB17HP04.raw (F16),Area: CAB18HP01.raw (F29),Area: CAB18HP02.raw (F30),Area: CAB18HP03.raw (F31),Area: CAB18HP04.raw (F32),Area: CAB19HPA01.raw (F53),Area: CAB19HPA02.raw (F54),Area: CAB19HPA03.raw (F55),Area: CAB19HPA04.raw (F56),Area: CAB19HPB01.raw (F57),Area: CAB19HPB02.raw (F58),Area: CAB19HPB03.raw (F59),Area: CAB19HPB04.raw (F60),Area: CAB20HP01.raw (F81),Area: CAB20HP02.raw (F82),Area: CAB20HP03.raw (F83),Area: CAB20HP04.raw (F84),Area: CAB21HP01.raw (F85),Area: CAB21HP02.raw (F86),Area: CAB21HP03.raw (F87),Area: CAB21HP04.raw (F88),Area: CAB15HPN01.raw (F1),Area: CAB15HPN02.raw (F2),Area: CAB15HPN03.raw (F3),Area: CAB15HPN04.raw (F4),Area: CAB16HPN01.raw (F5),Area: CAB16HPN02.raw (F6),Area: CAB16HPN03.raw (F7),Area: CAB16HPN04.raw (F8),Area: CAB19HPN01.raw (F61),Area: CAB19HPN02.raw (F62),Area: CAB19HPN03.raw (F63),Area: CAB19HPN04.raw (F64),Area: CAB19HC01.raw (F49),Area: CAB19HC02.raw (F50),Area: CAB19HC03.raw (F51),Area: CAB19HC04.raw (F52),Area: CAB18HCH01.raw (F25),Area: CAB18HCH02.raw (F26),Area: CAB18HCH03.raw (F27),Area: CAB18HCH04.raw (F28),Area: CAB20HCH01.raw (F77),Area: CAB20HCH02.raw (F78),Area: CAB20HCH03.raw (F79),Area: CAB20HCH04.raw (F80),Area: QCC1.raw (F105),Area: QCC2.raw (F106),Area: QCC4.raw (F108),Area: QCC5.raw (F109),Area: QCC6.raw (F110),Area: QCC7.raw (F111)
D-Proline,2647135773.0,2693985090.0,2650265717.0,2652328293.0,2497070577.0,2578114107.0,2619673869.0,2636682369.0,1738418066.0,1873289485.0,1819623054.0,1828824669.0,2155876154.0,2065218760.0,2263818263.0,2056427653.0,2549768471.0,2447209511.0,2494319171.0,2493232532.0,2663138101.0,2449209941.0,2546504963.0,2376382114.0,2093572123.0,1701885313.0,1585206735.0,1667688734.0,1631389000.0,1700029385.0,1505232804.0,1693017528.0,1610808494.0,1980558348.0,1870882164.0,1933403704.0,1870405347.0,1487438758.0,1386853562.0,1417111741.0,1308354120.0,1710234810.0,3224203101.0,3182711241.0,3236916300.0,3085842115.0,3554347202.0,3182654169.0,3320886418.0,3476733053.0,2677370519.0,2508634164.0,2560567769.0,2236445185.0,2802141498.0,2921574752.0,2671400216.0,2566845657.0,2873243404.0,3016903242.0,2730639353.0,2954408298.0,3279612916.0,3414547302.0,3278726744.0,3326469419.0,2937735352.0,2836102678.0,2990496720.0,2812543373.0,1942237360.0,2071751120.0,1989564177.0,1980477086.0,2355101433.0,2467723557.0,2244840148.0,2427137542.0,2030913888.0,1930403630.0,1697704584.0,2012499648.0,1821349860.0,1723636507.0,1873973017.0,1798459922.0,1396270155.0,1306892199.0,1356500064.0,1266336025.0,2347671474.0,2237510558.0,2289589375.0,2396368567.0,2310143982.0,2552498443.0
Stachydrine,626660686.8,662903249.0,624975261.5,626967342.2,946959852.5,949322331.0,977449028.9,1025136428.0,609715948.5,654763252.9,653588637.2,661151475.3,624418704.3,607247061.4,660064355.4,638861761.0,686811745.6,706901675.9,726724427.9,710531227.5,904145629.9,880242195.4,892608830.9,887337129.9,730726805.3,325273606.0,332950457.0,337044173.5,333951273.4,370986042.3,359220199.0,365094871.1,375894347.6,584257734.5,562973139.5,594932050.9,577890182.7,274758310.3,290398331.6,276237214.9,267533816.1,376332827.2,1547060362.0,1461828963.0,1480701634.0,1479484862.0,1485248310.0,1447463319.0,1419475889.0,1467159274.0,633063476.3,647553219.6,657412623.1,658191758.2,1244526840.0,1258217256.0,1156537599.0,1107766724.0,933687788.2,929778832.4,887435706.5,908774292.6,943417285.8,938717510.9,956050422.1,931004871.0,2105461897.0,2013063060.0,1979269151.0,2046477474.0,584906943.1,595519157.4,581921268.4,565628139.7,646042017.9,678892189.7,655395042.9,647861500.0,377732617.7,346472995.3,359587031.4,327239578.8,452580225.6,484566297.6,458266750.3,441372270.5,322281327.1,322405894.6,329197072.3,324579793.8,707337477.6,661263207.5,706663843.0,788695855.2,704579638.0,770043825.3
Diethyl succinate,719131504.6,808774083.5,728003747.0,813580461.2,622191019.1,653547174.4,610439507.8,650309441.4,515365407.2,555648949.2,526860969.6,550945020.7,372676549.4,356459947.8,366318946.7,345708579.0,580208391.5,535852407.3,572869577.9,566190926.9,379898762.1,358964443.7,385359560.7,359606769.5,433306864.6,302581677.6,290300974.7,305401121.7,278318691.7,379473342.0,355728221.0,366704222.4,343226295.0,324987506.6,303555166.6,348935809.0,315945034.8,277326121.6,254909289.8,266911044.1,246880479.5,320810872.9,928839527.6,806768426.2,899052571.2,804950459.4,654297795.2,607658619.3,605007321.7,691045905.1,1093262094.0,976058653.0,1104117943.0,978044745.3,529521707.6,563885455.9,526588735.4,566807744.5,413577326.8,430853815.2,406088013.1,420961692.1,274979392.1,296506055.8,274499496.9,307065318.6,1180577634.0,1043429061.0,1211407897.0,1074987844.0,1013074530.0,1161512046.0,1014271923.0,1136614934.0,969665187.8,1099671594.0,962761921.8,1126486598.0,995148439.0,908803208.4,1007153686.0,915791397.2,1133824538.0,1028118642.0,1145331340.0,1031479023.0,1058555232.0,949275465.2,1062240396.0,948201920.4,779139389.6,777983170.7,686515559.1,587261826.5,357854091.3,287370669.5
(S)-4-Hydroxy-2-oxohexanoate,372412830.6,434468052.5,389020869.7,427884372.3,389524848.3,427363057.3,370420943.3,422840089.2,478231756.6,526691762.5,474292620.4,532675283.6,466991899.9,409880969.5,480781892.8,434195318.1,572399946.9,539318863.1,585837595.9,584166206.9,443660316.6,399630570.0,436071417.3,393852464.2,449952415.9,374882971.7,342361409.1,375688219.2,318898757.4,448928931.2,414257752.8,453112954.4,413213707.6,403331659.2,369977726.8,417069176.2,381851717.4,440546882.8,410581783.3,454138056.7,396044508.4,427576881.6,437962772.6,401607751.9,461163661.7,424789410.4,414921185.6,372708062.3,373499874.7,418342006.4,515267799.6,456958545.4,551387203.2,494489968.1,342509853.1,376040798.9,338696981.3,519128397.6,418997193.7,446938207.7,392426990.8,452748823.0,340548148.0,367819723.1,313331278.0,356310387.2,441315410.0,397722187.2,431444050.4,399012442.5,573561977.3,669345406.5,556771771.0,652840051.1,496650892.1,568310268.2,488649772.6,552405237.5,466440473.8,434632549.9,477304089.5,436545411.6,647162196.0,594106080.3,636096886.2,593454049.7,610237357.7,513895207.9,602118950.3,541999001.8,406936523.8,411842164.6,476178571.3,502322038.0,523953396.0,593771264.2
L-Pipecolate,335332015.1,323294030.0,325013976.9,313104605.3,342119088.6,316710955.3,339081851.2,299925936.1,147659048.6,145281371.5,169195796.8,153584800.6,141655506.9,134962673.1,146574244.0,145643154.6,174349502.2,167986384.9,176870292.3,168695031.9,167629044.1,161550875.9,168306369.4,184611302.8,161541157.7,198259367.6,214281865.7,199979237.6,213962231.8,212721454.5,219638823.0,212861625.0,206199538.9,315409651.2,333007147.6,321667024.1,328807541.6,196912184.1,201689101.4,189429886.7,186933653.4,240717789.3,350171969.1,399282752.0,384190715.7,401477795.0,404284517.1,393185306.1,419338055.6,387779341.2,206999313.5,224009796.0,207983249.7,203838772.5,423619258.4,397228309.4,387276661.6,350493035.0,310810885.5,287545650.3,271025293.1,281238554.1,543204260.5,528782227.1,556845847.4,527608196.3,284911486.9,310138311.2,282080886.0,306611279.9,263522861.9,243796399.6,252665551.1,258634203.3,307005882.2,301699122.6,290520829.7,304580342.0,196608873.6,203572023.7,179571891.0,207559198.8,406748228.7,433648108.7,415252442.3,446910841.4,182279857.0,168880644.4,176254636.2,173265421.9,281280369.7,285704067.0,301872767.6,315466630.8,293382262.6,293868118.9
(+) -Catechin,166377709.8,179712257.6,164327519.3,179003764.6,368752984.0,389047970.0,374853290.8,386423224.9,139286734.0,152143355.5,141880812.6,153540160.5,144299288.3,135057205.4,148509287.0,132883651.0,115131067.1,112872141.8,120738632.5,117901424.0,238987738.8,231426823.8,235675756.1,224720576.7,160431990.8,231601001.7,228082808.3,237052666.5,220971602.0,218533430.8,213049156.4,222039576.1,209755353.3,179874031.6,171591739.8,182372953.8,170319804.1,210674952.3,202056190.1,212415718.3,200039962.0,214929743.1,179828994.4,166150646.1,178200968.8,169291620.0,193419673.8,179822682.8,177633252.3,190090642.4,250699871.1,227617125.9,249426629.6,231241078.5,195528384.1,203714971.9,193118828.6,232231364.3,322033291.9,332144550.5,312332362.6,328748048.1,524040518.9,530169397.1,497936365.7,521560836.4,134798688.2,134240715.7,135331898.8,128915530.5,279038309.4,294499620.9,281640148.1,296342354.8,310705535.2,331620936.2,315595465.2,324566648.6,417294683.3,405992875.6,429120852.0,414938799.4,279390574.8,261931507.3,281665046.1,259766841.8,218305577.0,201543955.0,215504610.7,200346924.7,249370139.2,254873554.4,277493116.7,294145594.6,271073855.5,290818390.0
(2S)-2-Isopropylmalate,266525269.7,268344366.8,279897679.1,267424539.2,228274208.2,222699157.7,231033023.2,220094069.8,290882367.7,278525329.7,292026678.5,286553575.5,238508234.5,251254517.3,245654890.1,240761466.5,311292330.3,336112710.9,327285635.6,323523021.0,276332406.5,277686643.1,269890796.3,284884536.7,304055255.2,138888649.6,142677520.9,136164187.9,144484490.3,158207132.8,171897582.0,157387893.3,163426351.4,156068714.5,164225583.7,157112107.2,165556417.9,180299726.2,186390765.7,183486727.5,181540754.9,157058243.0,218121159.8,229338984.8,218466614.7,229089688.1,384667915.5,387553934.3,397649217.4,393142698.6,452591486.1,460793911.5,448097632.0,461178181.1,321887076.4,307988215.9,318430503.0,398614265.8,259652864.4,238929409.4,249333451.0,234122851.3,277927650.1,260332217.9,270841306.1,243195543.8,225708436.4,241302054.5,227092824.9,247110052.7,336691689.3,325561487.6,341593249.8,327233243.3,365927631.8,349891320.2,367152303.9,352629850.5,157661407.9,170789061.5,164538351.9,179053085.0,501550114.0,516902139.2,512944406.0,504268577.5,355061523.1,356662193.1,351008050.6,356714601.9,234681536.5,276778160.5,328228125.1,342698694.3,315162503.8,310092584.4
5-Oxo-L-proline,112965650.8,113003139.1,112296103.7,99038019.33,161098060.8,163328645.4,163703225.1,159744543.0,169860985.3,176542323.1,177162101.9,180114778.7,105819094.4,105336079.1,116532151.6,112958459.5,100055683.1,95468769.16,101032649.3,87761039.72,117074122.0,111392966.2,98245992.3,107876468.9,121679448.5,188848665.0,172900668.0,179735776.1,179670410.2,184083278.9,171894974.7,181387270.7,179498566.8,130288420.9,147538093.2,145724170.7,137231537.0,70374721.2,69141175.51,67878431.44,60855938.0,149801372.6,204507436.9,228138724.5,212385041.4,212627251.4,488722742.6,472936793.6,422470417.3,449847395.3,116491940.0,128940223.5,116079043.1,127691641.9,257744732.4,227599221.4,240008167.3,230678026.5,273954350.3,268181983.9,261594194.2,274937528.2,281573653.3,294577707.5,289046229.5,295265468.5,90299139.98,98195250.13,94294145.71,96892302.94,69385102.78,67339109.26,66763203.49,60901195.43,74917883.58,66543613.54,66572416.08,73907054.81,116989715.2,132920119.9,107225302.0,114389694.3,222768131.4,243783798.9,194543953.1,223129900.5,102417709.8,108415041.0,104672761.4,106564971.5,160450078.3,147598840.0,155999107.4,165596459.1,152665020.6,162798885.3
3-Methylcrotonylglycine,185290487.7,183344235.9,181964086.6,185994061.1,297751758.4,304065988.8,300014353.4,292530972.2,156936121.1,162791545.9,159399752.1,169427208.6,173647530.2,172170979.8,174519445.7,158244769.1,150993492.0,145096951.5,149761041.3,152863887.1,162590196.8,170781301.1,171897022.5,166565185.0,160418163.3,141708460.6,142132474.2,141412990.4,138158188.5,167067526.2,156204141.4,156594728.3,157235261.4,107016196.8,104104084.6,105647458.5,100864767.6,63952402.43,65043362.67,65753154.83,63822139.84,117209841.5,249514195.5,235062185.8,261521896.3,243410386.6,460956940.4,460299696.3,476413196.7,467690457.5,202688599.8,201550666.9,205929073.3,200877096.3,216469667.6,222200450.6,219298727.9,207257677.8,236059681.1,241100016.8,227822188.1,229075984.1,401304993.6,397664532.0,390372907.3,393282296.5,108253544.6,111177216.3,109733942.2,94279163.2,236489445.4,231553370.9,230212777.6,225523457.1,194471524.8,187097397.0,203536059.4,196634492.1,213740466.4,213201230.7,212509386.7,210992623.3,346884362.6,364067627.3,361746941.4,367467572.3,274358435.9,270783918.4,269831884.5,270679201.0,248861030.2,222149332.5,242166465.1,231983707.0,233756319.6,232395752.3
(+) -Catechin,101355477.0,104404519.1,103382942.3,101408953.6,219356562.0,230821415.2,214236628.6,227655795.0,80069683.02,83486209.76,78182762.2,82112715.54,79723638.9,73802471.8,79620618.86,75292621.93,68823162.81,66608514.78,70548850.79,71340741.31,128481723.9,124889845.8,126439746.0,121988406.5,89685887.1,152072710.5,144880248.5,153473818.5,146756495.0,96286554.99,91751406.92,94760373.62,89276182.76,102361420.1,99683823.43,102754876.3,103293738.9,126707130.5,121501282.4,123625470.1,125403197.2,122326779.4,87076037.45,81781529.45,84615592.91,79667259.67,108050083.7,103903793.2,102979602.0,109547755.1,141219514.0,140856063.6,144581836.1,136749695.6,110529446.3,115891581.0,111495124.9,114918875.8,190328830.4,197666540.9,190449857.5,201975303.7,395414042.4,399288593.2,383155321.3,396997362.7,60550639.52,63640210.68,61942424.0,61899150.67,161893664.0,171115487.6,165673051.9,164718937.9,206418022.2,211438465.7,212996453.1,208881988.0,247637011.0,244367998.9,252381111.6,256412515.2,134504694.2,132535702.2,138753872.1,135993757.6,91184187.19,89547477.31,90917388.58,90418165.53,153453604.3,143747995.8,165623108.7,167223517.5,164121069.9,173849746.4
